           8 BDR_SUNKENINNER
           2 BDR_SUNKENOUTER
        4096 BEGIN_PATH
        8192 BF_ADJUST
           8 BF_BOTTOM
          16 BF_DIAGONAL
       16384 BF_FLAT
           1 BF_LEFT
        2048 BF_MIDDLE
       32768 BF_MONO
           4 BF_RIGHT
        4096 BF_SOFT
           2 BF_TOP
           0 BIGENDIAN
          12 BITSPIXEL
           3 BI_BITFIELDS
           0 BI_RGB
           2 BI_RLE4
           1 BI_RLE8
           2 BKMODE_LAST
          66 BLACKNESS
           1 BLACKONWHITE
           4 BLACK_BRUSH
           7 BLACK_PEN
         119 BLTALIGNMENT
         245 BM_CLICK
         240 BM_GETCHECK
         246 BM_GETIMAGE
         242 BM_GETSTATE
         241 BM_SETCHECK
         247 BM_SETIMAGE
         243 BM_SETSTATE
         244 BM_SETSTYLE
           0 BN_CLICKED
           4 BN_DISABLE
           5 BN_DOUBLECLICKED
           2 BN_HILITE
           7 BN_KILLFOCUS
           1 BN_PAINT
           6 BN_SETFOCUS
           3 BN_UNHILITE
         256 BOLD_FONTTYPE
  1112363332 BROADCAST_QUERY_DENY
           4 BSF_FLUSHDISK
          32 BSF_FORCEIFHUNG
           2 BSF_IGNORECURRENTTASK
           8 BSF_NOHANG
          64 BSF_NOTIMEOUTIFNOTHUNG
          16 BSF_POSTMESSAGE
           1 BSF_QUERY
           0 BSM_ALLCOMPONENTS
          16 BSM_ALLDESKTOPS
           8 BSM_APPLICATIONS
           4 BSM_INSTALLABLEDRIVERS
           2 BSM_NETDRIVER
           1 BSM_VXDS
           1 BST_CHECKED
           8 BST_FOCUS
           2 BST_INDETERMINATE
           4 BST_PUSHED
           0 BST_UNCHECKED
           5 BS_3STATE
           6 BS_AUTO3STATE
           3 BS_AUTOCHECKBOX
           9 BS_AUTORADIOBUTTON
         128 BS_BITMAP
        2048 BS_BOTTOM
         768 BS_CENTER
           2 BS_CHECKBOX
           1 BS_DEFPUSHBUTTON
           5 BS_DIBPATTERN
           8 BS_DIBPATTERN8X8
           6 BS_DIBPATTERNPT
       32768 BS_FLAT
           7 BS_GROUPBOX
           2 BS_HATCHED
          64 BS_ICON
           4 BS_INDEXED
         256 BS_LEFT
          32 BS_LEFTTEXT
           9 BS_MONOPATTERN
        8192 BS_MULTILINE
       16384 BS_NOTIFY
           1 BS_NULL
          11 BS_OWNERDRAW
           3 BS_PATTERN
           7 BS_PATTERN8X8
           0 BS_PUSHBUTTON
        4096 BS_PUSHLIKE
           4 BS_RADIOBUTTON
         512 BS_RIGHT
           0 BS_SOLID
           0 BS_TEXT
        1024 BS_TOP
           8 BS_USERBUTTON
        3072 BS_VCENTER
         256 C1_ALPHA
          64 C1_BLANK
          32 C1_CNTRL
           4 C1_DIGIT
           2 C1_LOWER
          16 C1_PUNCT
           8 C1_SPACE
           1 C1_UPPER
         128 C1_XDIGIT
           6 C2_ARABICNUMBER
           8 C2_BLOCKSEPARATOR
           7 C2_COMMONSEPARATOR
           3 C2_EUROPENUMBER
           4 C2_EUROPESEPARATOR
           5 C2_EUROPETERMINATOR
           1 C2_LEFTTORIGHT
           0 C2_NOTAPPLICABLE
          11 C2_OTHERNEUTRAL
           2 C2_RIGHTTOLEFT
           9 C2_SEGMENTSEPARATOR
          10 C2_WHITESPACE
       32768 C3_ALPHA
           2 C3_DIACRITIC
         128 C3_FULLWIDTH
          64 C3_HALFWIDTH
          32 C3_HIRAGANA
         256 C3_IDEOGRAPH
         512 C3_KASHIDA
          16 C3_KATAKANA
        1024 C3_LEXICAL
           1 C3_NONSPACING
           0 C3_NOTAPPLICABLE
           8 C3_SYMBOL
           4 C3_VOWELMARK
           0 CALLBACK_CHUNK_FINISHED
     5242896 CALLBACK_EVENT
     3145744 CALLBACK_FUNCTION
          16 CALLBACK_NULL
           1 CALLBACK_STREAM_SWITCH
     2097168 CALLBACK_TASK
     7340048 CALLBACK_TYPEMASK
     1048592 CALLBACK_WINDOW
           2 CALL_PENDING
           1 CAL_GREGORIAN
           2 CAL_GREGORIAN_US
           8 CAL_HEBREW
           6 CAL_HIJRI
           1 CAL_ICALINTVALUE
           3 CAL_IYEAROFFSETRANGE
           3 CAL_JAPAN
           5 CAL_KOREA
          16 CAL_SABBREVDAYNAME1
          16 CAL_SABBREVDAYNAME2
          16 CAL_SABBREVDAYNAME3
          17 CAL_SABBREVDAYNAME4
          18 CAL_SABBREVDAYNAME5
          19 CAL_SABBREVDAYNAME6
          20 CAL_SABBREVDAYNAME7
          34 CAL_SABBREVMONTHNAME1
          48 CAL_SABBREVMONTHNAME10
          48 CAL_SABBREVMONTHNAME11
          48 CAL_SABBREVMONTHNAME12
          48 CAL_SABBREVMONTHNAME13
          35 CAL_SABBREVMONTHNAME2
          36 CAL_SABBREVMONTHNAME3
          37 CAL_SABBREVMONTHNAME4
          38 CAL_SABBREVMONTHNAME5
          39 CAL_SABBREVMONTHNAME6
          40 CAL_SABBREVMONTHNAME7
          41 CAL_SABBREVMONTHNAME8
          48 CAL_SABBREVMONTHNAME9
